Aeschne affine;Aeshna affinis
Aeschne azurée;Aeshna caerulea
Aeschne bleue;Aeshna cyanea
Grande Aeschne;Aeshna grandis
Aeschne isocèle;Aeshna isoceles
Aeschne des joncs;Aeshna juncea
Aeschne mixte;Aeshna mixta
Aeschne subarctique;Aeshna subarctica
Anax empereur;Anax imperator
Anax de juin;Anax junius
Anax parthénope;Anax parthenope
Aeschne paisible;Boyeria irene
Aeschne printanière;Brachytron pratense
Caloptéryx hémorroïdal;Calopteryx haemorrhoidalis
Caloptéryx éclatant;Calopteryx splendens
Caloptéryx vierge;Calopteryx virgo
Caloptéryx occitan;Calopteryx xanthostoma
Agrion délicat;Ceriagrion tenellum
Leste vert;Chalcolestes viridis
Agrion bleuissant;Coenagrion caerulescens
Agrion hasté;Coenagrion hastulatum
Agrion à lunules;Coenagrion lunulatum
Agrion de Mercure;Coenagrion mercuriale
Agrion orné;Coenagrion ornatum
Agrion jouvencelle;Coenagrion puella
Agrion exclamatif;Coenagrion pulchellum
Agrion mignon;Coenagrion scitulum
Cordulégastre bidenté;Cordulegaster bidentata
Cordulégastre annelé;Cordulegaster boltonii
Cordulégastre annelé immaculifrons;Cordulegaster boltonii immaculifrons
Cordulie bronzée;Cordulia aenea
Libellule écarlate;Crocothemis erythraea
Agrion porte-coupe;Enallagma cyathigerum
Cordulie à deux tâches;Epitheca bimaculata
Agrion de Vander Linden;Erythromma lindenii
Naïade aux yeux rouges;Erythromma najas
Naïade au corps vert;Erythromma viridulum
Gomphe à pattes jaunes;Gomphus flavipes
Gomphe à cercoïdes fourchus;Gomphus graslinii
Gomphe gentil;Gomphus pulchellus
Gomphe semblable;Gomphus simillimus
Gomphe vulgaire;Gomphus vulgatissimus
Anax porte-selle;Hemianax ephippiger
Agrion élégant;Ischnura elegans
Agrion de Géné;Ischnura genei
Agrion de Graells;Ischnura graellsii
Agrion nain;Ischnura pumilio
Leste sauvage;Lestes barbarus
Leste dryade;Lestes dryas
Leste à grands stigmas;Lestes macrostigma
Leste fiancé;Lestes sponsa
Leste verdoyant;Lestes virens
Leste verdoyant septentrional;Lestes virens vestalis
Leucorrhine à front blanc;Leucorrhinia albifrons
Leucorrhine à large queue;Leucorrhinia caudalis
Leucorrhine douteuse;Leucorrhinia dubia
Leucorrhine à gros thorax;Leucorrhinia pectoralis
Leucorrhine rubiconde;Leucorrhinia rubicunda
Libellule déprimée;Libellula depressa
Libellule fauve;Libellula fulva
Libellule à quatre tâches;Libellula quadrimaculata
Lindénie à quatre feuilles;Lindenia tetraphylla
Cordulie splendide;Macromia splendens
Déesse précieuse;Nehalennia speciosa
Gomphe à pinces;Onychogomphus forcipatus
Onychogomphe à crochets;Onychogomphus uncatus
Gomphe serpentin;Ophiogomphus cecilia
Orthétrum à stylets blancs;Orthetrum albistylum
Orthétrum brun;Orthetrum brunneum
Orthétrum réticulé;Orthetrum cancellatum
Orthétrum bleuissant;Orthetrum coerulescens
Cordulie à corps fin;Oxygastra curtisii
Gomphe de Géné;Paragomphus genei
Agrion orangé;Platycnemis acutipennis
Agrion blanchâtre;Platycnemis latipes
Agrion à larges pattes;Platycnemis pennipes
Petite Nymphe au corps de feu;Pyrrhosoma nymphula
Cordulie alpestre;Somatochlora alpestris
Cordulie arctique;Somatochlora arctica
Cordulie à tâches jaunes;Somatochlora flavomaculata
Cordullie méridionale;Somatochlora meridionalis
Cordulie métallique;Somatochlora metallica
Leste brun;Sympecma fusca
Leste enfant;Sympecma paedisca
Sympétrum noir;Sympetrum danae
Sympétrum à corps déprimé;Sympetrum depressiusculum
Sympétrum jaune d'or;Sympetrum flaveolum
Sympétrum de Fonscolombe;Sympetrum fonscolombii
Sympétrum méridional;Sympetrum meridionale
Sympétrum du Piémont;Sympetrum pedemontanum
Sympétrum sanguin;Sympetrum sanguineum
Sympétrum fascié;Sympetrum striolatum
Sympetrum commun;Sympetrum vulgatum
Libellule purpurine;Trithemis annulata
